Average of open,Column Labels,,,,,,,,,,,,,,'13,1848.36
CLX,86.33637168,91.96503968,113.2435913,126.4391667,133.6647012,141.82,111.4570492,4.7%,5.0%,5.5%,6.2%,5.0%,5.7%,,,
CMA,40.04358407,48.54698413,45.62734127,45.63269841,73.05665339,92.53846154,51.64768864,2.2%,2.6%,2.2%,2.2%,2.7%,3.7%,,,
CMCSA,21.87387212,26.64950437,29.49928571,31.59621032,38.37320717,41.48326923,29.99640604,1.2%,1.4%,1.4%,1.5%,1.4%,1.7%,,,
CME,70.61075221,76.4509127,93.78928571,100.261627,127.1515139,153.1596154,95.33095314,3.8%,4.1%,4.6%,4.9%,4.8%,6.1%,,,
CMG,407.6434956,601.6322024,659.4137302,428.5605952,378.1184064,318.8073077,493.3319976,22.1%,32.5%,32.0%,21.0%,14.1%,12.7%,,,
CMI,122.0962611,144.1180952,125.3137897,116.2044444,159.0202988,184.3196154,134.6151827,6.6%,7.8%,6.1%,5.7%,5.9%,7.4%,,,
CMS,27.27340708,30.00123016,34.58880952,41.41511905,46.28380478,44.73192308,36.2647776,1.5%,1.6%,1.7%,2.0%,1.7%,1.8%,,,
CNC,26.89067478,37.68964286,64.59581349,62.7743254,81.32806773,107.4292308,56.29774623,1.5%,2.0%,3.1%,3.1%,3.0%,4.3%,,,
CNP,23.55035442,24.06587262,19.60734127,21.91599206,28.14613546,27.78423077,23.54084988,1.3%,1.3%,1.0%,1.1%,1.1%,1.1%,,,
COF,64.01426991,78.64396825,79.89146825,71.16684524,86.0112749,102.6842308,76.73615568,3.5%,4.3%,3.9%,3.5%,3.2%,4.1%,,,
COG,35.16746726,34.40646786,26.80960317,22.91083333,24.79996016,27.595,28.66567712,1.9%,1.9%,1.3%,1.1%,0.9%,1.1%,,,
COL,67.3085177,79.02291667,89.94027778,87.0409127,113.3792829,137.2107692,88.76127085,3.6%,4.3%,4.4%,4.3%,4.2%,5.5%,,,
COO,120.1723845,144.7606746,164.3989683,163.9327381,221.4211355,234.6034615,165.2538792,6.5%,7.8%,8.0%,8.0%,8.3%,9.4%,,,
